Flight	Bangkok	Barcelona	Beijing	Boston	Boulder	Denver	District of Columbia	Honolulu	London	Los Angeles	Narita	New York City	Orlando	Paris	San Francisco	Saudi Arabia	Seattle	Seoul	Sydney
Bangkok	0	-1	3840	-1	-1	-1	-1	-1	-1	-1	5280	-1	-1	11520	-1	6600	-1	4800	8160
Barcelona	-1	0	-1	-1	-1	-1	-1	-1	1760	-1	-1	7872	-1	880	-1	6000	-1	-1	-1
Beijing	3840	-1	0	12480	-1	-1	-1	-1	9600	11040	2640	12480	-1	10560	10800	-1	10080	1760	11520
Boston	-1	-1	12480	0	-1	3784	880	-1	5760	5280	-1	880	2420	6240	5500	-1	5060	-1	-1
Boulder	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Denver	-1	-1	-1	3784	-1	0	2640	-1	-1	1760	11280	2860	2772	-1	1980	-1	2200	-1	-1
District of Columbia	-1	-1	-1	880	-1	2640	0	-1	6864	4620	-1	660	1760	-1	4532	-1	4620	-1	-1
Honolulu	-1	-1	-1	-1	-1	-1	-1	0	-1	4416	7680	-1	-1	-1	4560	-1	5040	9600	-1
London	-1	1760	9600	5760	-1	-1	6864	-1	0	-1	10800	6720	-1	880	-1	8500	-1	-1	-1
Los Angeles	-1	-1	11040	5280	-1	1760	4620	4416	-1	0	10704	4180	3740	-1	800	-1	1980	11760	13920
Narita	5280	-1	2640	-1	-1	11280	-1	7680	10800	10704	0	-1	-1	10780	8640	-1	8448	1848	8880
New York City	-1	7872	12480	880	-1	2860	660	-1	6720	4180	-1	0	1980	6720	5236	-1	5060	-1	-1
Orlando	-1	-1	-1	2420	-1	2772	1760	-1	-1	3740	-1	1980	0	-1	5060	-1	5280	-1	-1
Paris	11520	880	10560	6240	-1	-1	-1	-1	880	-1	10780	6720	-1	0	-1	-1	-1	-1	-1
San Francico	-1	-1	10800	5500	-1	1980	4532	4560	-1	800	8640	5236	5060	-1	0	-1	1540	11616	14400
Saudi Arabia	6600	6000	-1	-1	-1	-1	-1	-1	8500	-1	-1	-1	-1	-1	-1	0	-1	-1	-1
Seattle	-1	-1	10080	5060	-1	2200	4620	5040	-1	1980	8448	5060	5280	-1	1540	-1	0	10800	-1
Seoul	4800	-1	1760	-1	-1	-1	-1	9600	-1	11760	1848	-1	-1	-1	11616	-1	10800	0	9504
Sydney	8160	-1	11520	-1	-1	-1	-1	-1	-1	13920	8880	-1	-1	-1	1440	-1	-1	9504	0
