Road	Bangkok	Barcelona	Beijing	Boston	Boulder	Denver	District of Columbia	Honolulu	London	Los Angeles	Narita	New York City	Orlando	Paris	San Francisco	Saudi Arabia	Seattle	Seoul	Sydney
Bangkok	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Barcelona	-1	0	-1	-1	-1	-1	-1	-1	1540	-1	-1	-1	-1	1037	-1	-1	-1	-1	-1
Beijing	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Boston	-1	-1	-1	0	-1	3176	-1	-1	-1	-1	-1	344	-1	-1	-1	-1	-1	-1	-1
Boulder	-1	-1	-1	-1	0	48	-1	-1	-1	-1	-1	-1	-1	-1	1990	-1	2075.2	-1	-1
Denver	-1	-1	-1	3176	48	0	2660	-1	-1	1630	-1	2848	2956.8	-1	-1	-1	-1	-1	-1
District of Columbia	-1	-1	-1	-1	-1	2660	0	-1	-1	-1	-1	360	1360	-1	-1	-1	-1	-1	-1
Honolulu	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
London	-1	1540	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	470	-1	-1	-1	-1	-1
Los Angeles	-1	-1	-1	-1	-1	1630	-1	-1	-1	0	-1	-1	-1	-1	620	-1	-1	-1	-1
Narita	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1
New York City	-1	-1	-1	344	-1	2848	360	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1
Orlando	-1	-1	-1	-1	-1	2956.8	1360	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1
Paris	-1	1037	-1	-1	-1	-1	-1	-1	470	-1	-1	-1	-1	0	-1	-1	-1	-1	-1
San Francico	-1	-1	-1	-1	1990	-1	-1	-1	-1	620	-1	-1	-1	-1	0	-1	1296	-1	-1
Saudi Arabia	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1
Seattle	-1	-1	-1	-1	2075	-1	-1	-1	-1	-1	-1	-1	-1	-1	1296	-1	0	-1	-1
Seoul	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1
Sydney	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
